,MentionPopularity,RTPopularity,RTweetDiffusion,nTweet,nRTweet,MentionInternal,MentionExternal,MentionCohesion,RTInternal,RTExternal,RTCohesion
lilitpopoyan,3,18,0.8707865168539326,178,155,20,9,0.6896551724137931,125,30,0.8064516129032258
dariomarmo_lama,3,10,0.82,200,164,26,77,0.2524271844660194,54,110,0.32926829268292684
johnbirdswords,3,9,0.43,200,86,1,131,0.007575757575757576,4,82,0.046511627906976744
arthurturrell,3,8,0.655,200,131,0,100,0.0,3,128,0.022900763358778626
Better_Finance,3,5,0.64,200,128,2,113,0.017391304347826087,3,125,0.0234375
jlmateos,3,4,0.678391959798995,199,135,8,132,0.05714285714285714,15,120,0.1111111111111111
2dipicchee,3,4,0.8125,192,156,16,37,0.3018867924528302,82,74,0.5256410256410257
BenitoMma,3,4,0.16279069767441862,172,28,3,233,0.012711864406779662,4,24,0.14285714285714285
eurohumph,3,3,0.53,200,106,0,46,0.0,0,106,0.0
OneClickSolar,3,3,0.19148936170212766,188,36,3,32,0.08571428571428572,3,33,0.08333333333333333
CMCSatBU,3,2,0.215,200,43,3,190,0.015544041450777202,14,29,0.32558139534883723
crie_ufrj,3,2,0.23214285714285715,168,39,1,48,0.02040816326530612,12,27,0.3076923076923077
HanKitcher,3,1,0.09,200,18,1,216,0.004608294930875576,0,18,0.0
sjnwoh,3,1,0.05,200,10,0,1215,0.0,1,9,0.1
GeoVun,3,1,0.4166666666666667,72,30,2,45,0.0425531914893617,2,28,0.06666666666666667
daniel_goldsmth,3,0,0.17,200,34,4,289,0.013651877133105802,1,33,0.029411764705882353
joelcomm,3,0,0.105,200,21,0,20,0.0,0,21,0.0
SusFinLab,3,0,0.8341708542713567,199,166,1,27,0.03571428571428571,11,155,0.06626506024096386
emergir_co,3,0,0.2621951219512195,164,43,10,225,0.0425531914893617,4,39,0.09302325581395349
PolatSihab,3,0,0.5727272727272728,110,63,3,38,0.07317073170731707,0,63,0.0
oddsku007,2,31,0.15656565656565657,198,31,2,19,0.09523809523809523,31,0,1.0
monicanagore,2,24,0.595,200,119,86,35,0.7107438016528925,52,67,0.4369747899159664
DarkMatter_Labs,2,14,0.535,200,107,70,2,0.9722222222222222,44,63,0.411214953271028
IBSEN_H2020,2,12,0.84,200,168,27,45,0.375,77,90,0.46107784431137727
schulte_stef,2,11,0.055,200,11,31,1284,0.023574144486692015,1,10,0.09090909090909091
KushyKush,2,6,0.14,200,28,0,120,0.0,1,32,0.030303030303030304
CardanoStiftung,2,5,0.21105527638190955,199,42,1,159,0.00625,0,42,0.0
dlacalle_IA,2,4,0.34,200,68,0,145,0.0,2,66,0.029411764705882353
FcoKienzle,2,3,0.285,200,57,42,308,0.12,17,40,0.2982456140350877
galeanojav,2,3,0.83,200,166,1,34,0.02857142857142857,9,157,0.05421686746987952
LeadMakelaar,2,2,0.035,200,7,2,47,0.04081632653061224,2,5,0.2857142857142857
REANworld,2,2,0.05025125628140704,199,10,2,51,0.03773584905660377,2,8,0.2
MartaCalderaro,2,1,0.935,200,187,8,18,0.3076923076923077,73,114,0.39037433155080214
gbracci_des,2,1,0.29,200,58,0,1444,0.0,3,55,0.05172413793103448
PolicyCompassEU,2,1,0.5226130653266332,199,104,3,124,0.023622047244094488,3,101,0.028846153846153848
impactdottech,2,1,0.5751295336787565,193,111,2,128,0.015384615384615385,1,110,0.009009009009009009
strategypod,2,0,0.12,200,24,2,2,0.5,0,24,0.0
zoozanne,2,0,0.65,200,130,2,84,0.023255813953488372,0,130,0.0
ISEEORG,2,0,0.045,200,9,0,6,0.0,0,9,0.0
jnode,2,0,0.41708542713567837,199,83,21,70,0.23076923076923078,10,73,0.12048192771084337
thetippytopblog,2,0,0.005025125628140704,199,1,2,22,0.08333333333333333,0,1,0.0
bginoc,2,0,0.09547738693467336,199,19,2,120,0.01639344262295082,0,19,0.0
IMPACT_EV,2,0,0.3768844221105528,199,75,2,211,0.009389671361502348,0,75,0.0
brianla1,2,0,0.5714285714285714,196,112,2,178,0.011111111111111112,2,110,0.017857142857142856
pdjahnke,2,0,0.25,176,44,2,69,0.028169014084507043,2,42,0.045454545454545456
GiachiniDaniele,2,0,1.0,110,110,0,0,0.0,108,2,0.9818181818181818
DucThiLuu,2,0,0.7291666666666666,48,35,0,5,0.0,26,9,0.7428571428571429
anielloiorio197,1,73,0.5,200,100,1,111,0.008928571428571428,73,27,0.73
repecCitEc,1,20,0.895,200,179,1,68,0.014492753623188406,20,159,0.11173184357541899
DinoFiorita,1,17,0.09045226130653267,199,18,1,24,0.04,17,1,0.9444444444444444
SodreLuciana,1,12,0.04,200,8,3,182,0.016216216216216217,2,6,0.25
flaskn6,1,12,0.155,200,31,1,85,0.011627906976744186,12,19,0.3870967741935484
PubAffairsEU,1,11,0.12,200,24,1,23,0.041666666666666664,10,14,0.4166666666666667
WRIClimate,1,11,0.25,200,50,1,87,0.011363636363636364,1,49,0.02
amritasaha,1,4,0.405,200,81,5,148,0.032679738562091505,1,80,0.012345679012345678
ferminserrano,1,4,0.24,200,48,0,337,0.0,0,48,0.0
RogerCremades,1,3,0.92,200,184,0,39,0.0,16,168,0.08695652173913043
BradZarnett,1,3,0.255,200,51,0,58,0.0,0,51,0.0
Climate_Friend,1,2,0.23,200,46,7,185,0.036458333333333336,4,42,0.08695652173913043
JFernandoGRE,1,2,0.61,200,122,0,47,0.0,3,119,0.02459016393442623
stefatos_kostas,1,1,0.005,200,1,1,20,0.047619047619047616,1,0,1.0
Fede_Botta,1,1,0.745,200,149,5,121,0.03968253968253968,2,147,0.013422818791946308
goldthau,1,1,0.275,200,55,2,107,0.01834862385321101,0,55,0.0
CCL_Aus,1,1,0.275,200,55,1,122,0.008130081300813009,1,54,0.01818181818181818
barryejames,1,1,0.24,200,48,1,141,0.007042253521126761,1,47,0.020833333333333332
SunilMalhotra,1,1,0.28,200,56,1,284,0.0035087719298245615,1,55,0.017857142857142856
netsci15,1,1,1.0,200,200,0,0,0.0,26,174,0.13
HelenJackson0,1,1,0.235,200,47,0,85,0.0,1,46,0.02127659574468085
7wData,1,1,0.66,200,132,0,18,0.0,0,132,0.0
stefanodigiorg3,1,1,0.22981366459627328,161,37,1,119,0.008333333333333333,1,36,0.02702702702702703
palabresgroup,1,1,0.3815789473684211,76,29,1,84,0.011764705882352941,2,27,0.06896551724137931
MoneyWAmission,1,0,0.07,200,14,1,4,0.2,0,14,0.0
HamishJWyatt,1,0,0.575,200,115,5,68,0.0684931506849315,36,79,0.3130434782608696
ChristosEllina1,1,0,0.79,200,158,5,83,0.056818181818181816,9,149,0.056962025316455694
James_Vaccaro,1,0,0.46,200,92,4,105,0.03669724770642202,5,87,0.05434782608695652
WiedmannBibel,1,0,0.0,200,0,1,27,0.03571428571428571,0,0,0.0
anaishannah,1,0,0.45,200,90,1,44,0.022222222222222223,3,87,0.03333333333333333
CaroleCasuco,1,0,0.615,200,123,1,50,0.0196078431372549,0,123,0.0
mixalis_papako,1,0,0.14,200,28,1,54,0.01818181818181818,0,28,0.0
mqdicer,1,0,0.445,200,89,1,66,0.014925373134328358,0,89,0.0
CanvasVC,1,0,0.715,200,143,1,112,0.008849557522123894,0,143,0.0
Marji84,1,0,0.515,200,103,1,183,0.005434782608695652,4,99,0.038834951456310676
dindjic,1,0,0.12,200,24,1,228,0.004366812227074236,0,24,0.0
NomosCSP,1,0,0.05,200,10,1,533,0.0018726591760299626,0,10,0.0
TehRaio,1,0,0.105,200,21,0,118,0.0,1,20,0.047619047619047616
RFIFoundation,1,0,0.365,200,73,0,21,0.0,2,71,0.0273972602739726
CorneliaDaniel,1,0,0.325,200,65,0,254,0.0,1,64,0.015384615384615385
PPFEnergia,1,0,0.04020100502512563,199,8,1,236,0.004219409282700422,0,8,0.0
bastidas_d,1,0,0.6051282051282051,195,118,1,44,0.022222222222222223,3,115,0.025423728813559324
OnePlanetParis,1,0,0.391304347826087,184,72,0,89,0.0,1,71,0.013888888888888888
yuridayana10,1,0,0.7938144329896907,97,77,1,19,0.05,0,77,0.0
systemRK,1,0,0.3132530120481928,83,26,3,2,0.6,5,21,0.19230769230769232
querforscher,1,0,0.875,72,63,2,0,1.0,29,34,0.4603174603174603
Gius_C,1,0,0.8873239436619719,71,63,1,0,1.0,57,6,0.9047619047619048
NectuntLab,1,0,1.0,57,57,0,0,0.0,42,15,0.7368421052631579
BigDataStackEU,1,0,0.0,34,0,1,8,0.1111111111111111,0,0,0.0
PetraKraljNovak,1,0,0.5757575757575758,33,19,1,10,0.09090909090909091,10,9,0.5263157894736842
CardanIOTeam,1,0,0.5,30,15,2,2,0.5,5,10,0.3333333333333333
alediemmee,1,0,0.2,20,4,1,0,1.0,0,4,0.0
multiplex_fet,1,0,0.5454545454545454,11,6,9,13,0.4090909090909091,5,1,0.8333333333333334
giuliaporino,1,0,0.5454545454545454,11,6,0,2,0.0,2,4,0.3333333333333333
mennoliauw,1,0,0.75,4,3,1,1,0.5,0,3,0.0
licht_anna,1,0,0.6666666666666666,3,2,0,0,0.0,1,1,0.5
andkarpf,1,0,0.5,2,1,0,3,0.0,0,1,0.0
VivereLanzarote,0,92,0.6368421052631579,190,121,0,41,0.0,92,29,0.7603305785123967
