,MentionPopularity,RTPopularity,RTweetDiffusion,nTweet,nRTweet,MentionInternal,MentionExternal,MentionCohesion,RTInternal,RTExternal,RTCohesion
kevinpuisieux,0,0,0.75,16,12,0,4,0.0,0,12,0.0
CarnesBestia,0,0,0.0625,16,1,0,2,0.0,0,1,0.0
darko_darkoa,0,0,0.6666666666666666,15,10,0,2,0.0,1,9,0.1
LucieKirstein,0,0,0.6,15,9,0,3,0.0,0,9,0.0
TorreyShine,0,0,0.0,15,0,0,19,0.0,0,0,0.0
coonchi14,0,0,1.0,14,14,0,0,0.0,0,14,0.0
Anna_Hadorn,0,0,0.8571428571428571,14,12,0,2,0.0,0,12,0.0
MitchDOPEcom,0,0,0.0,14,0,0,0,0.0,0,0,0.0
giannismanidis1,0,0,0.07692307692307693,13,1,0,9,0.0,0,1,0.0
giorgosvarzelio,0,0,0.0,13,0,0,11,0.0,0,0,0.0
solarfornia,0,0,0.16666666666666666,12,2,0,4,0.0,0,2,0.0
DeepestLearning,0,0,0.0,12,0,0,25,0.0,0,0,0.0
jiyanstorymovie,0,0,0.0,12,0,0,1,0.0,0,0,0.0
ivancitocostasm,0,0,0.45454545454545453,11,5,0,4,0.0,0,5,0.0
heloisa58879287,0,0,0.0,11,0,0,7,0.0,0,0,0.0
kostasgal50,0,0,0.0,11,0,0,7,0.0,0,0,0.0
tommaschera,0,0,0.0,11,0,0,11,0.0,0,0,0.0
trxias,0,0,0.1,10,1,0,3,0.0,0,1,0.0
iacobet79,0,0,0.0,10,0,0,0,0.0,0,0,0.0
n33dstfu,0,0,0.0,10,0,0,0,0.0,0,0,0.0
sconquer8,0,0,1.0,9,9,0,0,0.0,0,9,0.0
GladiAAreise,0,0,0.4444444444444444,9,4,0,7,0.0,0,4,0.0
AngelFe23124123,0,0,0.0,9,0,0,8,0.0,0,0,0.0
ValerioVolpati,0,0,0.8333333333333334,6,5,0,1,0.0,0,5,0.0
ideeverdi,0,0,0.6666666666666666,6,4,0,4,0.0,0,4,0.0
JonathanEcon,0,0,0.0,6,0,0,0,0.0,0,0,0.0
bh7u86u5tvfsn,0,0,0.0,6,0,0,5,0.0,0,0,0.0
gerrad12456789,0,0,0.0,6,0,0,0,0.0,0,0,0.0
__jasmy,0,0,1.0,4,4,0,0,0.0,3,1,0.75
giacomo_rella,0,0,0.75,4,3,0,0,0.0,0,3,0.0
alfonso_soldano,0,0,0.5,4,2,0,1,0.0,0,2,0.0
Andreas_Chile,0,0,0.0,4,0,0,2,0.0,0,0,0.0
fotinipolichro,0,0,0.0,4,0,0,0,0.0,0,0,0.0
jgliu626,0,0,0.0,4,0,0,2,0.0,0,0,0.0
economics_twitr,0,0,0.6666666666666666,3,2,0,1,0.0,0,2,0.0
laografikos,0,0,0.0,3,0,0,0,0.0,0,0,0.0
Arturo311311311,0,0,0.0,2,0,0,2,0.0,0,0,0.0
Asmmar1999,0,0,0.0,2,0,0,0,0.0,0,0,0.0
RoccaBam,0,0,0.0,2,0,0,0,0.0,0,0,0.0
joaquimfialho19,0,0,0.0,2,0,0,1,0.0,0,0,0.0
jarekkla,0,0,1.0,1,1,0,0,0.0,1,0,1.0
EuroLuckyStars,0,0,1.0,1,1,0,0,0.0,0,1,0.0
vijayakumarmad6,0,0,1.0,1,1,0,0,0.0,0,1,0.0
yanhua_yanhua7,0,0,1.0,1,1,0,0,0.0,0,1,0.0
KleineBottleM,0,0,0.0,1,0,0,0,0.0,0,0,0.0
NgulunguT,0,0,0.0,1,0,0,0,0.0,0,0,0.0
aurorab96124853,0,0,0.0,1,0,0,1,0.0,0,0,0.0
francrsci,0,0,0.0,1,0,0,0,0.0,0,0,0.0
mateusevil10,0,0,0.0,1,0,0,0,0.0,0,0,0.0
sebastienwathle,0,0,0.0,1,0,0,0,0.0,0,0,0.0
tori_henry2,0,0,0.0,1,0,0,0,0.0,0,0,0.0
4A50CqwsQqeahlq,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Adeline_story,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Adoufrancois,0,0,0.0,0,0,0,0,0.0,0,0,0.0
BoekeKatrin,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Casinos95,0,0,0.0,0,0,0,0,0.0,0,0,0.0
CigeuInfo,0,0,0.0,0,0,0,0,0.0,0,0,0.0
DustyTweak,0,0,0.0,0,0,0,0,0.0,0,0,0.0
EHillBrody,0,0,0.0,0,0,0,0,0.0,0,0,0.0
GautierChauvin,0,0,0.0,0,0,0,0,0.0,0,0,0.0
IOPDAHKA,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Louisbarla,0,0,0.0,0,0,0,0,0.0,0,0,0.0
OlgaBuchholz,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Pedromgi19,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Phil5571,0,0,0.0,0,0,0,0,0.0,0,0,0.0
PhysScala,0,0,0.0,0,0,0,0,0.0,0,0,0.0
Sb4GvLAuBrNkc93,0,0,0.0,0,0,0,0,0.0,0,0,0.0
StephaneNappo,0,0,0.0,0,0,0,0,0.0,0,0,0.0
TiberiuPetre,0,0,0.0,0,0,0,0,0.0,0,0,0.0
ZeGordon,0,0,0.0,0,0,0,0,0.0,0,0,0.0
ZofiaWemanska,0,0,0.0,0,0,0,0,0.0,0,0,0.0
a_yang_w,0,0,0.0,0,0,0,0,0.0,0,0,0.0
afrochia,0,0,0.0,0,0,0,0,0.0,0,0,0.0
alp08989139,0,0,0.0,0,0,0,0,0.0,0,0,0.0
avogli,0,0,0.0,0,0,0,0,0.0,0,0,0.0
ey0758,0,0,0.0,0,0,0,0,0.0,0,0,0.0
koptermaharania,0,0,0.0,0,0,0,0,0.0,0,0,0.0
kostasdimou5,0,0,0.0,0,0,0,0,0.0,0,0,0.0
larryclane,0,0,0.0,0,0,0,0,0.0,0,0,0.0
lperodabasioglu,0,0,0.0,0,0,0,0,0.0,0,0,0.0
maggie_q_q,0,0,0.0,0,0,0,0,0.0,0,0,0.0
michele_slowey,0,0,0.0,0,0,0,0,0.0,0,0,0.0
mkhm,0,0,0.0,0,0,0,0,0.0,0,0,0.0
netizait,0,0,0.0,0,0,0,0,0.0,0,0,0.0
nyaghouti,0,0,0.0,0,0,0,0,0.0,0,0,0.0
panchulzz,0,0,0.0,0,0,0,0,0.0,0,0,0.0
riddick19811,0,0,0.0,0,0,0,0,0.0,0,0,0.0
rubene822,0,0,0.0,0,0,0,0,0.0,0,0,0.0
sarresd8,0,0,0.0,0,0,0,0,0.0,0,0,0.0
styvencr7,0,0,0.0,0,0,0,0,0.0,0,0,0.0
tozhs,0,0,0.0,0,0,0,0,0.0,0,0,0.0
